gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
CDK11A	0	0.7468575405763892	0.285	0.138	0	C3_CD4 memory_CCR7
GNB1	0	0.6125154601315769	0.337	0.169	0	C3_CD4 memory_CCR7
RPL22	0	-1.3835023453741493	0.674	0.952	0	C3_CD4 memory_CCR7
KIAA2013	0	0.33894710311365206	0.123	0.032	0	C3_CD4 memory_CCR7
PRDM2	0	1.0313830769143355	0.374	0.135	0	C3_CD4 memory_CCR7
EFHD2	0	0.8794325757997266	0.618	0.396	0	C3_CD4 memory_CCR7
RCC2	0	0.49788683358624486	0.155	0.049	0	C3_CD4 memory_CCR7
CAPZB	0	-0.4516477821738747	0.446	0.67	0	C3_CD4 memory_CCR7
MICOS10	0	-0.43244128415806726	0.271	0.45	0	C3_CD4 memory_CCR7
EIF4G3	0	0.5330447711291981	0.193	0.073	0	C3_CD4 memory_CCR7
CDC42	0	0.6655735779650789	0.619	0.572	0	C3_CD4 memory_CCR7
RPL11	0	-1.4533671615079884	0.788	0.978	0	C3_CD4 memory_CCR7
RCAN3	0	-0.35536530490125107	0.069	0.256	0	C3_CD4 memory_CCR7
SRRM1	0	0.81313562908333	0.609	0.471	0	C3_CD4 memory_CCR7
RUNX3	0	1.5333675152788686	0.653	0.261	0	C3_CD4 memory_CCR7
LDLRAP1	0	-0.5354655056992225	0.06	0.267	0	C3_CD4 memory_CCR7
SH3BGRL3	0	-0.617704233833301	0.684	0.946	0	C3_CD4 memory_CCR7
CD52	0	-0.9136450258654185	0.566	0.895	0	C3_CD4 memory_CCR7
LAPTM5	0	-0.7054862132055537	0.541	0.814	0	C3_CD4 memory_CCR7
LCK	0	-0.6985388091954123	0.393	0.678	0	C3_CD4 memory_CCR7
NDUFS5	0	-0.41174105213524337	0.377	0.58	0	C3_CD4 memory_CCR7
MACF1	0	1.1712697264684178	0.574	0.325	0	C3_CD4 memory_CCR7
CTPS1	0	0.9840303121837277	0.243	0.042	0	C3_CD4 memory_CCR7
YBX1	0	-0.5276619215579483	0.565	0.824	0	C3_CD4 memory_CCR7
RPS8	0	-1.8620876621460098	0.759	0.975	0	C3_CD4 memory_CCR7
PRDX1	0	-0.4824812476248801	0.183	0.374	0	C3_CD4 memory_CCR7
TUT4	0	0.8698493415056109	0.348	0.187	0	C3_CD4 memory_CCR7
SSBP3	0	0.9183209273849091	0.329	0.084	0	C3_CD4 memory_CCR7
USP24	0	0.6497431594058606	0.191	0.071	0	C3_CD4 memory_CCR7
MIER1	0	0.6311627198105251	0.329	0.179	0	C3_CD4 memory_CCR7
SRSF11	0	0.9696506650035923	0.563	0.392	0	C3_CD4 memory_CCR7
IFI44L	0	0.8810400742204113	0.155	0.033	0	C3_CD4 memory_CCR7
GNG5	0	-0.5563416475709291	0.316	0.535	0	C3_CD4 memory_CCR7
ZNHIT6	0	0.516318969831325	0.161	0.054	0	C3_CD4 memory_CCR7
PKN2	0	0.708432472196842	0.202	0.073	0	C3_CD4 memory_CCR7
ZNF326	0	0.6118479504419218	0.21	0.087	0	C3_CD4 memory_CCR7
ZNF644	0	0.8499577025729455	0.283	0.106	0	C3_CD4 memory_CCR7
TGFBR3	0	0.7133734889571873	0.363	0.174	0	C3_CD4 memory_CCR7
RPL5	0	-1.3350596078642463	0.722	0.96	0	C3_CD4 memory_CCR7
SLC35A3	0	0.5872796433033475	0.157	0.049	0	C3_CD4 memory_CCR7
VAV3	0	0.6109281352674297	0.196	0.059	0	C3_CD4 memory_CCR7
PRPF38B	0	0.9324459654343098	0.474	0.3	0	C3_CD4 memory_CCR7
KCNA3	0	-0.5538371816095389	0.016	0.187	0	C3_CD4 memory_CCR7
DENND2D	0	-0.5279589507173421	0.154	0.356	0	C3_CD4 memory_CCR7
ATP5PB	0	-0.5602624942195157	0.239	0.458	0	C3_CD4 memory_CCR7
C1orf162	0	-0.6855011358875556	0.144	0.342	0	C3_CD4 memory_CCR7
PTPN22	0	0.6448226919152107	0.277	0.125	0	C3_CD4 memory_CCR7
HIPK1	0	1.1828169263035684	0.352	0.073	0	C3_CD4 memory_CCR7
TRIM33	0	0.7251732074909576	0.221	0.069	0	C3_CD4 memory_CCR7
TENT5C	0	0.9194465167829549	0.306	0.087	0	C3_CD4 memory_CCR7
LINC02591	0	0.34805033427988485	0.108	0.023	0	C3_CD4 memory_CCR7
RNF115	0	0.7434764453985281	0.313	0.164	0	C3_CD4 memory_CCR7
LINC01138	0	-0.8625129651486135	0.131	0.449	0	C3_CD4 memory_CCR7
AC245297.3	0	1.1360929279105578	0.396	0.119	0	C3_CD4 memory_CCR7
HIST2H2AC	0	0.5040496089251236	0.187	0.046	0	C3_CD4 memory_CCR7
MRPS21	0	-0.5281377608353984	0.239	0.453	0	C3_CD4 memory_CCR7
C1orf56	0	0.8799520028227387	0.242	0.033	0	C3_CD4 memory_CCR7
THEM4	0	-0.5061305527595474	0.072	0.255	0	C3_CD4 memory_CCR7
S100A10	0	-0.6781555079648807	0.525	0.803	0	C3_CD4 memory_CCR7
S100A11	0	-0.9448633533475757	0.328	0.642	0	C3_CD4 memory_CCR7
RPS27	0	-1.1290244090976627	0.865	0.983	0	C3_CD4 memory_CCR7
KRTCAP2	0	-0.4780982881245375	0.385	0.62	0	C3_CD4 memory_CCR7
ASH1L	0	0.8219256382514872	0.334	0.178	0	C3_CD4 memory_CCR7
SSR2	0	-0.6699231599833306	0.46	0.746	0	C3_CD4 memory_CCR7
MEF2D	0	0.6942229708854519	0.207	0.055	0	C3_CD4 memory_CCR7
TAGLN2	0	-1.023314767757687	0.43	0.733	0	C3_CD4 memory_CCR7
COPA	0	0.7896010029562962	0.31	0.148	0	C3_CD4 memory_CCR7
RCSD1	0	-0.6354906454376446	0.264	0.523	0	C3_CD4 memory_CCR7
SELL	0	-1.2324825566367705	0.163	0.502	0	C3_CD4 memory_CCR7
PRRC2C	0	1.1741428015795237	0.712	0.514	0	C3_CD4 memory_CCR7
GAS5	0	-0.9173505682332423	0.391	0.679	0	C3_CD4 memory_CCR7
IER5	0	0.615363497976807	0.203	0.061	0	C3_CD4 memory_CCR7
C1orf21	0	0.5522438496785219	0.305	0.144	0	C3_CD4 memory_CCR7
RGS1	0	0.7395891036238561	0.163	0.031	0	C3_CD4 memory_CCR7
RGS2	0	0.8767683570458235	0.25	0.049	0	C3_CD4 memory_CCR7
PTPRC	0	0.931805513995327	0.88	0.834	0	C3_CD4 memory_CCR7
PTPN7	0	0.9987106198955481	0.382	0.196	0	C3_CD4 memory_CCR7
BTG2	0	1.242700786479692	0.553	0.276	0	C3_CD4 memory_CCR7
MDM4	0	1.3017445305218405	0.429	0.14	0	C3_CD4 memory_CCR7
NUCKS1	0	0.8394107922874214	0.471	0.287	0	C3_CD4 memory_CCR7
MAPKAPK2	0	0.7799119495624757	0.248	0.062	0	C3_CD4 memory_CCR7
FCMR	0	-0.8929046067303984	0.203	0.507	0	C3_CD4 memory_CCR7
TRAF3IP3	0	-0.5901125622258483	0.376	0.663	0	C3_CD4 memory_CCR7
LPGAT1	0	0.6787679753910703	0.262	0.104	0	C3_CD4 memory_CCR7
WDR26	0	0.7105506393657869	0.233	0.08	0	C3_CD4 memory_CCR7
ACBD3	0	0.5419556610840224	0.19	0.054	0	C3_CD4 memory_CCR7
IRF2BP2	0	0.931085236727758	0.361	0.146	0	C3_CD4 memory_CCR7
LYST	0	0.6643089886933117	0.274	0.12	0	C3_CD4 memory_CCR7
HNRNPU	0	0.8781772796271539	0.677	0.553	0	C3_CD4 memory_CCR7
AL390728.6	0	0.465178219521226	0.107	0.017	0	C3_CD4 memory_CCR7
RPS7	0	-1.2734748314493816	0.753	0.972	0	C3_CD4 memory_CCR7
LINC00299	0	0.7206355224588378	0.167	0.043	0	C3_CD4 memory_CCR7
ID2	0	1.3832614479300513	0.574	0.283	0	C3_CD4 memory_CCR7
NCOA1	0	0.6070525465167625	0.24	0.091	0	C3_CD4 memory_CCR7
OST4	0	-0.74793067534297	0.465	0.792	0	C3_CD4 memory_CCR7
