gene	status	avg_log2FC	celltype	Dataset	ENTREZID
ISG15	Up	2.8119226510944397	C5_CD4_memory_IL7R	GSE145926	9636
C1QA	Down	-2.9942527264501613	C5_CD4_memory_IL7R	GSE145926	712
C1QB	Down	-2.7352920218519152	C5_CD4_memory_IL7R	GSE145926	713
C1orf56	Down	-1.8729795055284384	C5_CD4_memory_IL7R	GSE145926	54964
MTRNR2L12	Up	4.025603965217944	C5_CD4_memory_IL7R	GSE145926	100463498
HLA-DRA	Down	-3.0089465093495047	C5_CD4_memory_IL7R	GSE145926	3122
RPS10	Down	-2.9573707397661204	C5_CD4_memory_IL7R	GSE145926	6204
FABP4	Down	-3.4072628201023023	C5_CD4_memory_IL7R	GSE145926	2167
IFITM1	Up	4.249344570565254	C5_CD4_memory_IL7R	GSE145926	8519
IFITM3	Up	3.2365030891735627	C5_CD4_memory_IL7R	GSE145926	10410
RPL27A	Down	-2.0898563510950754	C5_CD4_memory_IL7R	GSE145926	6157
PTPRCAP	Up	2.5035049058951193	C5_CD4_memory_IL7R	GSE145926	5790
LYZ	Down	-4.1019138433590765	C5_CD4_memory_IL7R	GSE145926	4069
RPL21	Down	-1.9103983197024297	C5_CD4_memory_IL7R	GSE145926	6144
ISG20	Up	2.668293761362011	C5_CD4_memory_IL7R	GSE145926	3669
MT2A	Up	2.8787369657628377	C5_CD4_memory_IL7R	GSE145926	4502
TAOK1	Up	4.002774864699244	C5_CD4_memory_IL7R	GSE145926	57551
SNHG25	Down	-1.8189856577766117	C5_CD4_memory_IL7R	GSE145926	105376843
APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	GSE145926	348
APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	GSE145926	341
RPL13A	Down	-2.0104979991266436	C5_CD4_memory_IL7R	GSE145926	23521
MX1	Up	2.941183989750107	C5_CD4_memory_IL7R	GSE145926	4599
ATP8	Up	3.94041826669352	C5_CD4_memory_IL7R	GSE145926	4509
ND4L	Up	3.548566645494216	C5_CD4_memory_IL7R	GSE145926	4539
IFITM2	Up	2.0712449463265887	C5_CD4_memory_IL7R	GSE145926	10581
RPS20	Down	-2.2788462879657825	C5_CD4_memory_IL7R	GSE145926	6224
RPS17	Down	-2.8670865949384643	C5_CD4_memory_IL7R	GSE145926	6218
H3F3B	Up	1.5286526884647755	C5_CD4_memory_IL7R	GSE145926	NA
RSAD2	Up	2.882999180885827	C5_CD4_memory_IL7R	GSE145926	91543
IFIT3	Up	2.816036565291242	C5_CD4_memory_IL7R	GSE145926	3437
IRF7	Up	2.1634986609185995	C5_CD4_memory_IL7R	GSE145926	3665
IFIT1	Up	2.62643841756532	C5_CD4_memory_IL7R	GSE145926	3434
RETN	Down	-2.1564075346491736	C5_CD4_memory_IL7R	GSE145926	56729
FTL	Down	-1.5193493462342431	C5_CD4_memory_IL7R	GSE145926	2512
LY6E	Up	1.6615045749296642	C5_CD4_memory_IL7R	GSE145926	4061
MARCO	Down	-2.397438522676757	C5_CD4_memory_IL7R	GSE145926	8685
IFI44L	Up	2.006717704762567	C5_CD4_memory_IL7R	GSE145926	10964
RPS29	Down	-1.229683980349554	C5_CD4_memory_IL7R	GSE145926	6235
TNFSF10	Up	2.5147825617785755	C5_CD4_memory_IL7R	GSE145926	8743
CST3	Down	-2.266400772469452	C5_CD4_memory_IL7R	GSE145926	1471
MALAT1	Down	-1.411344345243104	C5_CD4_memory_IL7R	GSE145926	378938
IFIT2	Up	2.777420167019545	C5_CD4_memory_IL7R	GSE145926	3433
RNF213	Up	1.6754941124941694	C5_CD4_memory_IL7R	GSE145926	57674
UBE2L6	Up	1.78993388033703	C5_CD4_memory_IL7R	GSE145926	9246
IFI6	Up	1.8277598700667603	C5_CD4_memory_IL7R	GSE145926	2537
RPL26	Down	-1.228001911731976	C5_CD4_memory_IL7R	GSE145926	6154
OASL	Up	1.918987565603438	C5_CD4_memory_IL7R	GSE145926	8638
MX2	Up	1.8556420260112805	C5_CD4_memory_IL7R	GSE145926	4600
TAP1	Up	1.6084766761586131	C5_CD4_memory_IL7R	GSE145926	6890
ALDH2	Down	-1.5692595501527056	C5_CD4_memory_IL7R	GSE145926	217
CSTA	Down	-2.1034474784176544	C5_CD4_memory_IL7R	GSE145926	1475
HLA-C	Up	1.164153579905828	C5_CD4_memory_IL7R	GSE145926	3107
HERC5	Up	1.8685223671654596	C5_CD4_memory_IL7R	GSE145926	51191
HLA-DRB1	Down	-2.3378992537301646	C5_CD4_memory_IL7R	GSE145926	3123
NUPR1	Down	-2.111464625921035	C5_CD4_memory_IL7R	GSE145926	26471
PLSCR1	Up	1.7584312650711853	C5_CD4_memory_IL7R	GSE145926	5359
XAF1	Up	1.5473563274292397	C5_CD4_memory_IL7R	GSE145926	54739
