ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
GO:1905952	regulation of lipid localization	6/82	183/18870	1.457154442999225e-4	0.004089284214639095	0.0031261258225747787	APOE/APOC1/RETN/CES1/MSR1/TSPO	6	C5_CD4_memory_IL7R	GSE145926	Down
GO:0030301	cholesterol transport	5/82	128/18870	2.385780084327918e-4	0.005858415540405221	0.004478569631983987	APOE/APOC1/CES1/MSR1/TSPO	5	C5_CD4_memory_IL7R	GSE145926	Down
GO:0042632	cholesterol homeostasis	4/82	100/18870	9.462498892080978e-4	0.01672969804119917	0.01278931429203366	FABP4/APOE/CES1/TSPO	4	C5_CD4_memory_IL7R	GSE145926	Down
GO:0010885	regulation of cholesterol storage	2/82	19/18870	0.003040383253808572	0.032977899341923654	0.02521053986367586	CES1/MSR1	2	C5_CD4_memory_IL7R	GSE145926	Down
GO:0019216	regulation of lipid metabolic process	6/82	342/18870	0.003741083113491327	0.037795628255158094	0.028893538151716476	APOE/APOC1/CES1/PSAP/CD74/TSPO	6	C5_CD4_memory_IL7R	GSE145926	Down
GO:0010878	cholesterol storage	2/82	25/18870	0.005244729744998767	0.046831728228069795	0.035801344989784246	CES1/MSR1	2	C5_CD4_memory_IL7R	GSE145926	Down
GO:0030301	cholesterol transport	6/88	128/18870	2.9778916058372555e-5	8.161284182247728e-4	6.323121814368251e-4	APOE/APOC1/MSR1/CES1/NPC2/TSPO	6	C4_T|NK_NKG7	GSE145926	Down
GO:0042632	cholesterol homeostasis	5/88	100/18870	1.0451879009240988e-4	0.002036955086912077	0.0015781726082959198	FABP4/APOE/CES1/NPC2/TSPO	5	C4_T|NK_NKG7	GSE145926	Down
GO:0010878	cholesterol storage	3/88	25/18870	2.0926956680030303e-4	0.0037076648501791058	0.0028725891625644997	MSR1/CES1/NPC2	3	C4_T|NK_NKG7	GSE145926	Down
GO:1905952	regulation of lipid localization	6/88	183/18870	2.1496220691305388e-4	0.0037331060487672918	0.002892300251430459	APOE/APOC1/RETN/MSR1/CES1/TSPO	6	C4_T|NK_NKG7	GSE145926	Down
GO:0019216	regulation of lipid metabolic process	7/88	342/18870	0.0010917364228839091	0.013677897755274119	0.010597230992053584	APOE/APOC1/CES1/PSAP/NPC2/TSPO/ASAH1	7	C4_T|NK_NKG7	GSE145926	Down
GO:0010885	regulation of cholesterol storage	2/88	19/18870	0.0034919691804015424	0.03032135615061537	0.023492090734228196	MSR1/CES1	2	C4_T|NK_NKG7	GSE145926	Down
GO:0008203	cholesterol metabolic process	4/88	140/18870	0.004181469548869366	0.034433322012755244	0.026677920373562394	APOE/APOC1/CES1/NPC2	4	C4_T|NK_NKG7	GSE145926	Down
GO:0045444	fat cell differentiation	7/145	248/18870	0.003095121141287523	0.023785916516426368	0.01753305617607961	NR4A3/ATF5/ZFP36/SOD2/SOCS1/PLAC8/KLF4	7	C9_B_naive_CST3	GSE145926	Up
GO:1905952	regulation of lipid localization	4/51	183/18870	0.0014989389651247319	0.015464561759460867	0.010265605506814981	RETN/APOC1/APOE/MSR1	4	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down
GO:0034368	protein-lipid complex remodeling	2/51	33/18870	0.0035841522304987427	0.028548911986284783	0.018951191288733845	APOC1/APOE	2	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down
GO:0030301	cholesterol transport	3/51	128/18870	0.00500734304698752	0.03670275914228086	0.02436383599010165	APOC1/APOE/MSR1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down
GO:0008203	cholesterol metabolic process	3/51	140/18870	0.006418132174126923	0.04293294240750922	0.02849952406395655	APOC1/APOE/CYP27A1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down
GO:0010878	cholesterol storage	4/131	25/18870	2.5060967733472987e-5	7.023183396526942e-4	5.591265971858287e-4	TREM2/CES1/MSR1/LIPA	4	C6_Macrophages_RBM47	GSE145926	Down
GO:0030301	cholesterol transport	7/131	128/18870	3.115226347913463e-5	8.300371381445589e-4	6.608055270465133e-4	TREM2/CES1/APOE/APOC1/MSR1/TSPO/LIPA	7	C6_Macrophages_RBM47	GSE145926	Down
GO:0010885	regulation of cholesterol storage	3/131	19/18870	2.920885984568326e-4	0.0054132772423316315	0.004309594543159899	TREM2/CES1/MSR1	3	C6_Macrophages_RBM47	GSE145926	Down
GO:1905952	regulation of lipid localization	7/131	183/18870	2.921002515444397e-4	0.0054132772423316315	0.004309594543159899	TREM2/CES1/RETN/APOE/APOC1/MSR1/TSPO	7	C6_Macrophages_RBM47	GSE145926	Down
GO:0006631	fatty acid metabolic process	9/131	401/18870	0.001956757056117414	0.025549021107714873	0.020339974662273122	CD74/AKR1B1/SCD/ALOX5AP/CES1/APOC1/ALOX5/MGST3/LIPA	9	C6_Macrophages_RBM47	GSE145926	Down
GO:0008203	cholesterol metabolic process	5/131	140/18870	0.0029497528785679883	0.03271279146750709	0.026043164110909862	CES1/APOE/APOC1/CYP27A1/LIPA	5	C6_Macrophages_RBM47	GSE145926	Down
GO:0070341	fat cell proliferation	2/131	14/18870	0.00412094735264628	0.03945807090158813	0.03141318639868086	TREM2/LIPA	2	C6_Macrophages_RBM47	GSE145926	Down
GO:0042632	cholesterol homeostasis	4/131	100/18870	0.005204803793297416	0.045536226021201005	0.03625210060228453	FABP4/CES1/APOE/TSPO	4	C6_Macrophages_RBM47	GSE145926	Down
GO:0010883	regulation of lipid storage	3/131	54/18870	0.00626554398297095	0.04968697137953789	0.039556573797644115	TREM2/CES1/MSR1	3	C6_Macrophages_RBM47	GSE145926	Down
GO:0010878	cholesterol storage	5/226	25/18870	1.030128266384052e-5	2.9268873770563387e-4	2.18261846107833e-4	MSR1/TREM2/PPARG/NPC2/LIPA	5	C2_Epithelial_CAPS	GSE145926	Down
GO:0030301	cholesterol transport	8/226	128/18870	1.5594352252167702e-4	0.0025938482847271847	0.001934266824156295	APOE/APOC1/MSR1/TREM2/TSPO/PPARG/NPC2/LIPA	8	C2_Epithelial_CAPS	GSE145926	Down
