ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
GO:1905952	regulation of lipid localization	APOE/APOC1/RETN/CES1/MSR1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	FABP4/APOE/APOC1/RETN/RBP4/CES1/MSR1/PSAP/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOE/APOC1/CES1/MSR1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOE/APOC1/CES1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOE/APOC1/RETN/CES1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0042632	cholesterol homeostasis	FABP4/APOE/CES1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905954	positive regulation of lipid localization	APOE/RETN/CES1/MSR1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0046890	regulation of lipid biosynthetic process	APOE/APOC1/CES1/CD74/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0033700	phospholipid efflux	APOE/APOC1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0090205	positive regulation of cholesterol metabolic process	APOE/CES1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905953	negative regulation of lipid localization	APOC1/CES1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0010885	regulation of cholesterol storage	CES1/MSR1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0043691	reverse cholesterol transport	APOE/CES1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0019216	regulation of lipid metabolic process	APOE/APOC1/CES1/PSAP/CD74/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0033344	cholesterol efflux	APOE/APOC1/CES1	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
