ID	Description	geneID	status	avg_log2FC	celltype	Tissue	Dataset	Dataset name for plot
GO:1905952	regulation of lipid localization	APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	RETN	Down	-2.1564075346491736	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	MSR1	Down	-1.1824718475302436	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	FABP4	Down	-3.4072628201023023	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	RETN	Down	-2.1564075346491736	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	RBP4	Down	-1.1673038181486537	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	MSR1	Down	-1.1824718475302436	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	PSAP	Down	-1.5507274410150726	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	MSR1	Down	-1.1824718475302436	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	RETN	Down	-2.1564075346491736	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
