ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:1905952	regulation of lipid localization	6/82	183/18870	1.457154442999225e-4	0.004089284214639095	0.0031261258225747787	APOE/APOC1/RETN/CES1/MSR1/TSPO	6	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0006869	lipid transport	9/82	453/18870	1.5196996592582187e-4	0.004133583073182355	0.003159990870425187	FABP4/APOE/APOC1/RETN/RBP4/CES1/MSR1/PSAP/TSPO	9	C5_CD4_memory_IL7R	GSE145926	Down	GO:0030301	cholesterol transport
GO:0030301	cholesterol transport	5/82	128/18870	2.385780084327918e-4	0.005858415540405221	0.004478569631983987	APOE/APOC1/CES1/MSR1/TSPO	5	C5_CD4_memory_IL7R	GSE145926	Down	GO:0030301	cholesterol transport
GO:0032374	regulation of cholesterol transport	4/82	80/18870	4.0757391075590233e-4	0.00878769114898092	0.006717906308223089	APOE/APOC1/CES1/TSPO	4	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0032368	regulation of lipid transport	5/82	153/18870	5.420030404119797e-4	0.0111425741331207	0.008518138358494272	APOE/APOC1/RETN/CES1/TSPO	5	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0042632	cholesterol homeostasis	4/82	100/18870	9.462498892080978e-4	0.01672969804119917	0.01278931429203366	FABP4/APOE/CES1/TSPO	4	C5_CD4_memory_IL7R	GSE145926	Down	GO:0042632	cholesterol homeostasis
GO:1905954	positive regulation of lipid localization	4/82	111/18870	0.0013940318337577566	0.020206109407250258	0.015446918599017225	APOE/RETN/CES1/MSR1	4	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0046890	regulation of lipid biosynthetic process	5/82	189/18870	0.001398344062607693	0.020206109407250258	0.015446918599017225	APOE/APOC1/CES1/CD74/TSPO	5	C5_CD4_memory_IL7R	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0033700	phospholipid efflux	2/82	14/18870	0.0016409413007808659	0.022489800153337756	0.017192726480641633	APOE/APOC1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0030301	cholesterol transport
GO:0090205	positive regulation of cholesterol metabolic process	2/82	15/18870	0.001888062137273963	0.025098450065416292	0.019186955158367776	APOE/CES1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:1905953	negative regulation of lipid localization	3/82	66/18870	0.0029718580948698476	0.032977899341923654	0.02521053986367586	APOC1/CES1/TSPO	3	C5_CD4_memory_IL7R	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0010885	regulation of cholesterol storage	2/82	19/18870	0.003040383253808572	0.032977899341923654	0.02521053986367586	CES1/MSR1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:0043691	reverse cholesterol transport	2/82	20/18870	0.003368706016649215	0.035476778278843143	0.02712085217315706	APOE/CES1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0030301	cholesterol transport
GO:0019216	regulation of lipid metabolic process	6/82	342/18870	0.003741083113491327	0.037795628255158094	0.028893538151716476	APOE/APOC1/CES1/PSAP/CD74/TSPO	6	C5_CD4_memory_IL7R	GSE145926	Down	GO:0019216	regulation of lipid metabolic process
GO:0033344	cholesterol efflux	3/82	73/18870	0.003952322044660915	0.03903746019531005	0.02984287859655757	APOE/APOC1/CES1	3	C5_CD4_memory_IL7R	GSE145926	Down	GO:0030301	cholesterol transport
GO:0010878	cholesterol storage	2/82	25/18870	0.005244729744998767	0.046831728228069795	0.035801344989784246	CES1/MSR1	2	C5_CD4_memory_IL7R	GSE145926	Down	GO:0010878	cholesterol storage
GO:0140353	lipid export from cell	3/69	47/18870	6.761580446975508e-4	0.015538877329087111	0.012878561367724951	INHBA/RETN/TSPO	3	C7_Macrophages_C1QA	GSE145926	Down	GO:0030301	cholesterol transport
GO:0030301	cholesterol transport	6/88	128/18870	2.9778916058372555e-5	8.161284182247728e-4	6.323121814368251e-4	APOE/APOC1/MSR1/CES1/NPC2/TSPO	6	C4_T|NK_NKG7	GSE145926	Down	GO:0030301	cholesterol transport
