category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	12/94	216/8964	2.3687179249447845e-6	2.6319088054942047e-5	1.856188315453808e-5	IRF7/TNFSF10/HSPA8/CCL2/NFKBIA/CCL5/JUN/FOS/SOD2/CCL3L1/CCL3/CXCL8	12	C5_CD4_memory_IL7R	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/62	51/8964	0.0051821409242594025	0.018623318946557228	0.01227349166271964	APOE/APOC1/TSPO	3	C5_CD4_memory_IL7R	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	13/111	216/8964	2.408282071297221e-6	4.1311300146098484e-5	3.412545445158006e-5	JUN/TNFSF10/CXCL8/SOD2/NCF1/LYN/HSPA5/IRF7/NFKBIA/CALM1/CCL2/CCL3/CCL3L1	13	C7_Macrophages_C1QA	GSE145926	Up
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	5/59	157/8964	0.0036153158418938784	0.02504535378089092	0.01782676810469429	NDUFC2/NDUFB8/NDUFB1/NDUFA11/NDUFA13	5	C7_Macrophages_C1QA	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	7/91	216/8964	0.006254997213649958	0.045709595022826614	0.03368075422734593	IRF7/TNFSF10/HSPA8/CCL2/CCL3/CCL3L1/FOS	7	C4_T|NK_NKG7	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	4/70	51/8964	6.46229793683017e-4	0.0024870055696285804	0.0016284578533001066	APOE/APOC1/NPC2/TSPO	4	C4_T|NK_NKG7	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	14/105	216/8964	1.9320774077598795e-7	3.600689714461594e-6	2.625406621070841e-6	IRF7/TNFSF10/CCL2/SOD2/NFKBIA/FOS/LYN/CCL3L1/NFKB1/CCL3/CXCL8/HSP90B1/HSPA5/JUN	14	C9_B_naive_CST3	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	3/40	51/8964	0.0014779579890641201	0.0038317429346106818	0.0020167068076898326	APOC1/APOE/CYP27A1	3	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	8/93	216/8964	0.0017547261224085918	0.016341937628879772	0.01169738693435605	CXCL8/IRF7/JUN/CCL2/ATF4/HSPA1B/NFKBIA/FOS	8	C1_Epithelial_Secretory_SCGB1A1	GSE145926	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	17/166	216/8964	4.620296945649079e-7	9.548613687674763e-6	7.497850306535786e-6	TNFSF10/IRF7/NFKBIA/CCL2/CCL3/CCL3L1/LYN/CALM1/SOD2/FOS/NCF1/CXCL8/TLR2/JUN/HSPA6/HSPA1A/HSPA1B	17	C6_Macrophages_RBM47	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	5/111	51/8964	3.969728549007315e-4	0.002100114458184515	0.0016310259912729547	APOE/APOC1/TSPO/CYP27A1/LIPA	5	C6_Macrophages_RBM47	GSE145926	Down
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	7/184	51/8964	7.392438188214439e-5	6.080907310237955e-4	4.8248405000565634e-4	APOE/APOC1/TSPO/CYP27A1/NPC2/LIPA/LRPAP1	7	C2_Epithelial_CAPS	GSE145926	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	18/143	216/8964	8.275280692053615e-9	3.790078556960555e-7	2.752619682830466e-7	IRF7/TNFSF10/CALML4/NFKBIA/NFE2L2/CCL2/HSPA1B/JUN/HRAS/HSPA8/DDIT3/HSPA1A/ATF4/HSP90AB1/SOD2/HSP90AA1/CCL3L1/CCL3	18	C2_Epithelial_CAPS	GSE145926	Up
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	7/120	51/8964	4.594604700061602e-6	4.507088420060429e-5	3.823079600051258e-5	APOC1/APOE/CYP27A1/TSPO/LRP1/NPC2/LIPA	7	C8_Plasma_IGHG1	GSE145926	Down
