ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
hsa05417	Lipid and atherosclerosis	IRF7/TNFSF10/HSPA8/CCL2/NFKBIA/CCL5/JUN/FOS/SOD2/CCL3L1/CCL3/CXCL8	Up	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOE/APOC1/TSPO	Down	C5_CD4_memory_IL7R	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	JUN/TNFSF10/CXCL8/SOD2/NCF1/LYN/HSPA5/IRF7/NFKBIA/CALM1/CCL2/CCL3/CCL3L1	Up	C7_Macrophages_C1QA	Lung	GSE145926	Liao et al., 2020
hsa04932	Non-alcoholic fatty liver disease	NDUFC2/NDUFB8/NDUFB1/NDUFA11/NDUFA13	Down	C7_Macrophages_C1QA	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	IRF7/TNFSF10/HSPA8/CCL2/CCL3/CCL3L1/FOS	Up	C4_T|NK_NKG7	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOE/APOC1/NPC2/TSPO	Down	C4_T|NK_NKG7	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	IRF7/TNFSF10/CCL2/SOD2/NFKBIA/FOS/LYN/CCL3L1/NFKB1/CCL3/CXCL8/HSP90B1/HSPA5/JUN	Up	C9_B_naive_CST3	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOC1/APOE/CYP27A1	Down	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	CXCL8/IRF7/JUN/CCL2/ATF4/HSPA1B/NFKBIA/FOS	Up	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	TNFSF10/IRF7/NFKBIA/CCL2/CCL3/CCL3L1/LYN/CALM1/SOD2/FOS/NCF1/CXCL8/TLR2/JUN/HSPA6/HSPA1A/HSPA1B	Up	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOE/APOC1/TSPO/CYP27A1/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOE/APOC1/TSPO/CYP27A1/NPC2/LIPA/LRPAP1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	IRF7/TNFSF10/CALML4/NFKBIA/NFE2L2/CCL2/HSPA1B/JUN/HRAS/HSPA8/DDIT3/HSPA1A/ATF4/HSP90AB1/SOD2/HSP90AA1/CCL3L1/CCL3	Up	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOC1/APOE/CYP27A1/TSPO/LRP1/NPC2/LIPA	Down	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	HSP90B1/CCL2/HSPA5/XBP1/HSPD1/IRF7/CCL5/TNFSF10	Up	C8_Plasma_IGHG1	Lung	GSE145926	Liao et al., 2020
hsa04979	Cholesterol metabolism	APOC1/APOE/NCEH1/TSPO/VAPA	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al., 2020
hsa05417	Lipid and atherosclerosis	CD14/CYBB/HSP90B1/NFKBIA/XBP1	Up	C9_RBC_HBB	Blood	GSE150728	Wilk et al., 2020
hsa05417	Lipid and atherosclerosis	CXCL8/ICAM1/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
hsa04932	Non-alcoholic fatty liver disease	CXCL8/IL1B	Down	C4_Granulocytes_CD177	Blood	GSE157344_Blood	Bost et al., 2021
hsa04932	Non-alcoholic fatty liver disease	CXCL8/IL1B	Down	C7_Granulocytes_PI3	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/IL1B	Down	C7_Granulocytes_PI3	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/CXCL1	Down	C6_Granulocytes_ISG_IFIT1	Blood	GSE157344_Blood	Bost et al., 2021
hsa04932	Non-alcoholic fatty liver disease	CXCL8/IL1B	Down	C5_Granulocytes_resting_CXCL8	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/IL1B	Down	C5_Granulocytes_resting_CXCL8	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	NCF2/NCF1/SOD2/TLR2/LY96/LYN/CXCL8	Up	C2_CD8_Te_PRF1	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/ICAM1/IL1B	Down	C8_Granulocytes_CCL4	Blood	GSE157344_Blood	Bost et al., 2021
hsa04932	Non-alcoholic fatty liver disease	CXCL8/IL1B	Down	C8_Granulocytes_CCL4	Blood	GSE157344_Blood	Bost et al., 2021
hsa04071	Sphingolipid signaling pathway	FCER1G/CTSD	Up	C8_Granulocytes_CCL4	Blood	GSE157344_Blood	Bost et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/ICAM1/SOD2	Down	C9_Granulocytes_Immature_LTF	Blood	GSE157344_Blood	Bost et al., 2021
hsa04071	Sphingolipid signaling pathway	PPP2R2B/PLCB1/FYN	Up	C16_Glial_Microglia_APBB1IP	Brain	GSE159812	Yang et al., 2021
hsa05417	Lipid and atherosclerosis	CCL3L1/CCL5/CCL3	Down	C2_CD4_Tfh-like_CD200	Blood	GSE162086	Bacher et al., 2020
hsa05417	Lipid and atherosclerosis	CCL3/CCL5	Down	C6_CD4_Cytotoxic|Th1_XCL1	Blood	GSE162086	Bacher et al., 2020
hsa05417	Lipid and atherosclerosis	CCL3L1/CCL3	Down	C5_CD4_Cytotoxic|Th1_CCL4	Blood	GSE162086	Bacher et al., 2020
hsa04979	Cholesterol metabolism	APOE/APOC1/TSPO	Up	C5_Treg_CTLA4	Brain	GSE163005	Heming et al., 2021
hsa05417	Lipid and atherosclerosis	HSP90AA1/HSPA1A	Down	C6_PV interneuron_NXPH1	Brain	GSE164485	Fullard et al., 2021
hsa05417	Lipid and atherosclerosis	HSPA1A/HSP90AA1	Down	C11_Glial_OPC_PCDH15	Brain	GSE164485	Fullard et al., 2021
hsa04071	Sphingolipid signaling pathway	FYN	Down	C14_CD8_CMTM7	Brain	GSE164485	Fullard et al., 2021
hsa04932	Non-alcoholic fatty liver disease	COX6C/COX7C/NDUFA4/UQCRQ/NDUFAB1/COX5A/UQCRH/XBP1/NDUFB2/COX4I1/NDUFA5/UQCRB/COX7A2/COX6A1/PIK3R1	Down	C1_Sec_Secretory diff_IFITM3	Nose	GSE164547	Ahn et al., 2021
hsa05417	Lipid and atherosclerosis	SOD2/IL1B/NFKBIA/LYN/NCF2/IRF7/TLR4/CD14/LY96/CASP1/TLR2/HSPA6/NCF4/TNFRSF1A/NFE2L2/CYBB/MYD88/TNFSF10/TANK	Up	C1_Sec_Secretory diff_IFITM3	Nose	GSE164547	Ahn et al., 2021
hsa05417	Lipid and atherosclerosis	IL1B/CXCL8/NCF2/SOD2/LYN	Up	C10_Basal_Suprabasal_SERPINB4	Nose	GSE164547	Ahn et al., 2021
hsa05417	Lipid and atherosclerosis	CXCL8/IL1B/IRF7/NCF2/SOD2/NFKBIA	Up	C6_Ciliated_Ciliated diff_NEAT1	Nose	GSE164547	Ahn et al., 2021
hsa05417	Lipid and atherosclerosis	IL1B/CCL3	Up	C6_CD14 Monocytes_LYZ	Blood	GSE165080	Wang et al., 2022
hsa05417	Lipid and atherosclerosis	IL1B/CCL3	Up	C7_CD16 Monocytes_CDKN1C	Blood	GSE165080	Wang et al., 2022
hsa05417	Lipid and atherosclerosis	CXCL2/CXCL3/IL1B/CXCL8	Up	C8_cMo_CD14	Blood	GSE166992	Thompson et al., 2021
hsa05417	Lipid and atherosclerosis	JUN/HSPA1B/HSPA1A	Down	C9_ncMo_CD16	Blood	GSE166992	Thompson et al., 2021
hsa05417	Lipid and atherosclerosis	NLRP3/IL1B/NFKBIA	Up	C11_iMo_CD14|CD16	Blood	GSE166992	Thompson et al., 2021
hsa04979	Cholesterol metabolism	APOE/CD36/PLTP/APOC1	Up	C17_APC_NFKBIA	Placenta	GSE171381	Lu-Culligan et al., 2021
hsa04979	Cholesterol metabolism	PLTP/APOE/APOC1	Up	C16_APC_MALAT1	Placenta	GSE171381	Lu-Culligan et al., 2021
hsa05417	Lipid and atherosclerosis	ABCA1/SOD2/HSPA1A/HSPA1B/CD36/HSP90AA1/CCL2	Up	C8_Macrophages_FCGR3A	Lung	GSE171524	Melms et al., 2021
hsa04979	Cholesterol metabolism	APOE/ABCA1/CD36	Up	C8_Macrophages_FCGR3A	Lung	GSE171524	Melms et al., 2021
hsa05417	Lipid and atherosclerosis	ABCA1/HSP90AA1/HSPA1A/HSPA1B/HSPD1	Up	C9_Macrophages_MRC1	Lung	GSE171524	Melms et al., 2021
hsa04979	Cholesterol metabolism	ABCA1/APOE	Up	C9_Macrophages_MRC1	Lung	GSE171524	Melms et al., 2021
