Database ID	Dataset name	Tissue	Sample	Accession	Dataset	Dataset name for plot
S000	Bacher P et al. (T cells)	Blood	T cells	GSE162086	GSE162086	Bacher et al., 2020
S001	Bost P et al. (BALF)	Lung	BALF	GSE157344	Exclude	Bost et al., 2021
S002	Bost P et al. (Blood)	Blood	Blood	GSE157344	GSE157344_Blood	Bost et al., 2021
S003	Chavan AR et al. (Decidua and placental villi)	Placenta	Decidua and placental villi	GSE171381	GSE171381	Lu-Culligan et al., 2021
S004	Chen et al. (Islets)	Pancreas	Islets	GSE159556	Exclude	Tang et al., 2021
S005	Cheung MD et al. (Urine)	Urine	Urine	GSE180595	GSE180595	Cheung et al., 2022
S006	Cordon-Cardo et al. (Olfactory bulb and prefontal cortex)	Brain	Olfactory bulb and prefontal cortex	GSE182298	Exclude	Pujadas et al., 2021
S007	Delorey TM et al. (Brain)	Brain	Brain	GSE171668	Exclude	Delorey et al., 2021
S008	Delorey TM et al. (Heart)	Heart	Heart	GSE171668	Exclude	Delorey et al., 2021
S009	Delorey TM et al. (Kidney)	Kidney	Kidney	GSE171668	Exclude	Delorey et al., 2021
S010	Delorey TM et al. (Liver)	Liver	Liver	GSE171668	Exclude	Delorey et al., 2021
S011	Delorey TM et al. (Lung)	Lung	Lung	GSE171668	Exclude	Delorey et al., 2021
S012	Delorey TM et al. (Lymph node)	Lymph node	Lymph node	GSE171668	Exclude	Delorey et al., 2021
S013	Delorey TM et al. (Spleen)	Spleen	Spleen	GSE171668	Exclude	Delorey et al., 2021
S014	Delorey TM et al. (Trachea)	Airway	Trachea	GSE171668	Exclude	Delorey et al., 2021
S015	Eddins et al. (Blood)	Blood	Blood	GSE186267	GSE186267_Blood	Eddins et al., 2023
S016	Eddins et al. (Endotracheal aspirates)	Airway	Endotracheal aspirates	GSE186267	Exclude	Eddins et al., 2023
S017	Fukuma N et al. (Right ventricles)	Heart	Right ventricles	GSE185457	Exclude	Brener et al., 2022
S018	Fullard et al. (Dorsolateral prefrontal cortex, medulla oblongata and choroid plexus)	Brain	Dorsolateral prefrontal cortex, medulla oblongata and choroid plexus	GSE164485	GSE164485	Fullard et al., 2021
S019	Heming et al. (Cerebrospinal fluid)	Brain	Cerebrospinal fluid	GSE163005	GSE163005	Heming et al., 2021
S020	Hinze C et al. (Kidney)	Kidney	Kidney	GSE210622	GSE210622	Hinze et al., 2022
S021	Hoehn et al. (PBMC)	Blood	PBMC	GSE164379	GSE164379	Hoehn et al., 2021
S022	Izar B et al. (Lung)	Lung	Lung	GSE171524	GSE171524	Melms et al., 2021
S023	Jansen J et al. (iPSC kidney organoids)	Kidney	iPSC kidney organoids	GSE167747	Exclude	Jansen et al., 2022
S024	Koh G et al. (Nasal swabs)	Nose	Nasal swabs	GSE164547	GSE164547	Ahn et al., 2021
S025	Kropski JA et al. (Lung)	Lung	Lung	GSE163919	Exclude	
S026	Liao et al. (BALF)	Lung	BALF	GSE145926	GSE145926	Liao et al., 2020
S027	Lim et al. (PBMC)	Blood	PBMC	GSE178404	Exclude	Youngs et al., 2021
S028	Martínez-Colón G et al. (Adipose)	Adipose	Adipose	GSE208034	Exclude	Martínez-Colón et al., 2022
S029	Misharin et al. (Bronchial epithelium)	Airway	Bronchial epithelium	GSE168215	Exclude	Yoshida et al., 2022
S030	Pekayvaz et al. (PBMC)	Blood	PBMC	GSE193708	GSE193708	Pekayvaz et al., 2022
S031	Ravindra et al. (Bronchial epithelium)	Airway	Bronchial epithelium	GSE166766	Exclude	Ravindra et al., 2021
S032	Scott MK et al. (Blood)	Blood	Blood	GSE155673	GSE155673	Arunachalam et al., 2020
S033	Steed et al. (PBMC)	Blood	PBMC	GSE192391	GSE192391	Amrute et al., 2022
S034	Triana et al. (Colon)	Intestinal	Colon	GSE156760	Exclude	Triana et al., 2021
S035	Triana et al. (Ileum)	Intestinal	Ileum	GSE156760	Exclude	Triana et al., 2021
S036	Unterman et al. (PBMC)	Blood	PBMC	GSE155223	Exclude	Unterman et al., 2022
S037	Wilk et al. (Blood)	Blood	PBMC	GSE174072	GSE174072	Wilk et al., 2021
S038	Wilk et al. (PBMC)	Blood	PBMC	GSE150728	GSE150728	Wilk et al., 2020
S039	Xu et al. (Lung)	Lung	Lung	GSE149878	Exclude	Xu et al., 2020
S040	Yang L et al. (Cardiomyocytes)	Heart	Cardiomyocytes	GSE151878	Exclude	Chen et al., 2020
S041	Yang et al. (Cortex and choroid plexi)	Brain	Cortex and choroid plexi	GSE159812	GSE159812	Yang et al., 2021
S042	Yao et al. (Buffy coat)	Blood	Buffy coat	GSE154567	Exclude	Yao et al., 2021
S043	Yegnasubramanian S et al. (Blood)	Blood	PBMC	GSE166992	GSE166992	Thompson et al., 2021
S044	Zhang et al. (PBMC)	Blood	PBMC	GSE165080	GSE165080	Wang et al., 2022
