Dataset	Sample_GEO	Status_GEO
GSE162086	GSM4932900	COVID-19
GSE162086	GSM4932901	COVID-19
GSE162086	GSM4932902	COVID-19
GSE162086	GSM4932903	COVID-19
GSE162086	GSM4932904	COVID-19
GSE162086	GSM4932905	COVID-19
GSE162086	GSM4932906	COVID-19
GSE162086	GSM4932907	COVID-19
GSE162086	GSM4932908	COVID-19
GSE162086	GSM4932909	COVID-19
GSE162086	GSM4932910	COVID-19
GSE162086	GSM4932911	COVID-19
GSE162086	GSM4932912	Healthy
GSE162086	GSM4932913	Healthy
GSE162086	GSM4932914	Healthy
GSE162086	GSM4932915	Healthy
GSE162086	GSM4932916	COVID-19
GSE162086	GSM4932917	COVID-19
GSE162086	GSM4932918	Healthy
GSE162086	GSM4932919	Healthy
GSE157344_Blood	GSM4762161	COVID-19
GSE157344_Blood	GSM4762162	COVID-19
GSE157344_Blood	GSM4762163	COVID-19
GSE157344_Blood	GSM4762164	COVID-19
GSE157344_Blood	GSM4762165	COVID-19
GSE157344_Blood	GSM4762166	COVID-19
GSE157344_Blood	GSM4762167	COVID-19
GSE157344_Blood	GSM4762168	COVID-19
GSE157344_Blood	GSM4762169	COVID-19
GSE157344_Blood	GSM4762170	COVID-19
GSE157344_Blood	GSM4762171	COVID-19
GSE157344_Blood	GSM4762172	COVID-19
GSE157344_Blood	GSM4762173	COVID-19
GSE157344_Blood	GSM4762174	COVID-19
GSE157344_Blood	GSM4762175	COVID-19
GSE157344_Blood	GSM4762177	COVID-19
GSE157344_Blood	GSM4762178	COVID-19
GSE157344_Blood	GSM4762179	COVID-19
GSE157344_Blood	GSM4762180	COVID-19
GSE157344_Blood	GSM4762181	COVID-19
GSE157344_Blood	GSM4762182	COVID-19
GSE157344_Blood	GSM4762183	COVID-19
GSE157344_Blood	GSM4762184	Healthy
GSE157344_Blood	GSM4762185	Healthy
GSE157344_Blood	GSM4762186	Healthy
GSE157344_Blood	GSM4762187	Healthy
GSE157344_Blood	GSM4762188	Healthy
GSE157344_Blood	GSM4762189	Healthy
GSE157344_Blood	GSM4762190	COVID-19
GSE157344_Blood	GSM4762191	COVID-19
GSE157344_Blood	GSM4762192	COVID-19
GSE157344_Blood	GSM4762193	COVID-19
GSE157344_Blood	GSM4762194	COVID-19
GSE171381	GSM5224701	Healthy
GSE171381	GSM5224702	Healthy
GSE171381	GSM5224703	Healthy
GSE171381	GSM5224704	Healthy
GSE171381	GSM5224705	Healthy
GSE171381	GSM5224706	COVID-19
GSE171381	GSM5224707	COVID-19
GSE171381	GSM5224708	COVID-19
GSE171381	GSM5224709	COVID-19
GSE180595	GSM5706855	COVID-19
GSE180595	GSM5706860	COVID-19
GSE180595	GSM5706861	Healthy
GSE180595	GSM5706862	Healthy
GSE180595	GSM5706863	Healthy
GSE180595	GSM5706864	Healthy
GSE180595	GSM5706853	COVID-19
GSE180595	GSM5706854	COVID-19
GSE180595	GSM5706856	COVID-19
GSE180595	GSM5706857	COVID-19
GSE180595	GSM5706858	COVID-19
GSE180595	GSM5706859	COVID-19
GSE186267_Blood	GSM5642546	COVID-19
GSE186267_Blood	GSM5642548	COVID-19
GSE186267_Blood	GSM5642550	COVID-19
GSE186267_Blood	GSM5642552	COVID-19
GSE186267_Blood	GSM5642554	Healthy
GSE186267_Blood	GSM5642555	Healthy
GSE186267_Blood	GSM5642556	Healthy
GSE186267_Blood	GSM5642557	Healthy
GSE186267_Blood	GSM5642558	Healthy
GSE186267_Blood	GSM5642559	Healthy
GSE164485	set1	Healthy
GSE164485	set2	Healthy
GSE164485	set3	Healthy
GSE164485	set4	Healthy
GSE164485	set5	COVID-19
GSE164485	set6	COVID-19
GSE164485	set7	COVID-19
GSE164485	set8	COVID-19
